機場代碼,目的地與國家
CTA,Italy
PMO,Italy
SARDINIA,Italy
MAD,Spain
BCN,Spain
FRA,Germany
LINATE,Italy
CDG,France
LHR,United Kingdom
MUC,Germany
ORLY,France
ATH,Greece
BRU,Belgium
JFK,United States
LIS,Portugal
GOA,Italy
ZRH,Switzerland
AMS,Netherlands
BRI,Italy
VIE,Austria
BDS,Italy
MLA,Malta
CPH,Denmark
DUB,Ireland
NCE,France
TRN,Italy
WAW,Poland
YYZ,Canada
TLV,Israel
AGP,Spain
CIY,Italy
IST,Turkey
VCE,Italy
FLR,Italy
NAP,Italy
TRS,Italy
BLQ,Italy
VLC,Spain
LGW,United Kingdom
GVA,Switzerland
CAI,Egypt
ORD,United States
TIA,Albania
EWR,United States
OTP,Romania
SABIHA,Turkey
SUF,Italy
IAD,United States
GRU,Brazil
TUN,Tunisia
LTN,United Kingdom
SVQ,Spain
BUD,Hungary
ATL,United States
BER,Germany
ARLANDA,Sweden
ALG,Algeria
BHX,United Kingdom
OSL,Norway
KRK,Poland
ALC,Spain
HAM,Germany
OPO,Portugal
PMI,Spain
HEL,Finland
ICN,South Korea
MIA,United States
REG,Italy
DXB,United Arab Emirates
YUL,Canada
BOS,United States
DUS,Germany
PRG,Czechia
BEG,Serbia
EZE,Argentina
SFO,United States
BOD,France
MRS,France
SSH,Egypt
SOF,Bulgaria
GDN,Poland
IBZ,Spain
KTW,Poland
DOH,Qatar
STR,Germany
SEA,United States
NTE,France
EVN,Armenia
TPS,Italy
MAN,United Kingdom
RUH,Saudi Arabia
LYS,France
BEAUVAIS,France
SPU,Croatia
ADD,Ethiopia
DEL,India
AOI,Italy
ZAG,Croatia
SKG,Greece
EIN,Netherlands
BTS,Slovakia
AUH,United Arab Emirates
BIO,Spain
CMN,Morocco
GLA,United Kingdom
LUX,Luxembourg
CGN,Germany
DBV,Croatia
RIX,Latvia
REINA SOFÍA,Spain
DEN,United States
BRS,United Kingdom
CLT,United States
RMO,Moldova
PHL,United States
GIG,Brazil
HND,Japan
LAX,United States
MEX,Mexico
DFW,United States
CRV,Italy
PVG,China
PEK,China
DTW,United States
CLJ,Romania
KEFLAVIK,Iceland
BCM,Romania
DAC,Bangladesh
YYC,Canada
JED,Saudi Arabia
DSS,Senegal
AMM,Jordan
RMF,Egypt
RTM,Netherlands
TLS,France
CRL,Belgium
KUT,Georgia
LMP,Italy
IAS,Romania
ZAZ,Spain
NCL,United Kingdom
SCV,Romania
TSR,Romania
SKP,Republic of North Macedonia
SIN,Singapore
TFU,China
ACC,Ghana
PER,Australia
HKG,Hong Kong
HAJ,Germany
MSP,United States
SPX,Egypt
CRA,Romania
TLL,Estonia
IAH,United States
FAO,Portugal
GOT,Sweden
KWI,Kuwait
JMK,Greece
VAR,Bulgaria
OVD,Spain
MJI,Libya
SBZ,Romania
GHV,Romania
BEY,Lebanon
GYD,Azerbaijan
SJJ,Bosnia & Herzegovina
MALPENSA,Italy
BSL,France
HRG,Egypt
SZX,China
BOJ,Bulgaria
LCA,Cyprus
VRN,Italy
TGM,Romania
EDI,United Kingdom
PFO,Cyprus
ADB,Turkey
RZE,Poland
BLL,Denmark
LBA,United Kingdom
CRETE,Greece
LAS PALMAS,Spain
LDE,France
MPL,France
TGD,Montenegro
BGO,Norway
TPE,Taiwan
STN,United Kingdom
CORSICA,France
KSC,Slovakia
TBS,Georgia
SXB,France
BEN,Libya
CKG,China
BAH,Bahrain
LRM,Dominican Republic
WNZ,China
MCT,Oman
UGC,Uzbekistan
BVC,Cape Verde
NOS,Madagascar
CUN,Mexico
LIG,France
MLE,Maldives
OMO,Bosnia & Herzegovina
ISLAND,Italy
MUH,Egypt
PNL,Italy
TAS,Uzbekistan
BJL,Gambia
SID,Cape Verde
LXR,Egypt
RDO,Poland
DJE,Tunisia
HAV,Cuba
ZAD,Croatia
AOK,Greece
MBA,Kenya
JSI,Greece
OMR,Romania
PUJ,Dominican Republic
KGS,Greece
MAHON,Spain
KERKYRA,Greece
BFS,United Kingdom
SDQ,Dominican Republic
JTR,Greece
SHARJAH,United Arab Emirates
BOM,India
ZNZ,Tanzania
SLL,Oman
CND,Romania
BERGAMO,Italy
ZTH,Greece
FUE,Spain
EFL,Greece
PRN,Kosovo
KLU,Austria
HBE,Egypt
SZG,Austria
BKK,Thailand
BES,France
MIR,Tunisia
MRU,Mauritius
PVK,Greece
RHO,Greece
