機場代碼,目的地與國家
BER,Germany
HAM,Germany
MUC,Germany
VIE,Austria
CDG,France
LHR,United Kingdom
ZRH,Switzerland
FIUMICINO,Italy
BCN,Spain
PMI,Spain
MAD,Spain
AMS,Netherlands
LINATE,Italy
BUD,Hungary
PRG,Czechia
MALPENSA,Italy
VCE,Italy
IST,Turkey
LIS,Portugal
CPH,Denmark
WAW,Poland
ATH,Greece
BRU,Belgium
DUB,Ireland
JFK,United States
ARLANDA,Sweden
HEL,Finland
OSL,Norway
AYT,Turkey
DUS,Germany
HAJ,Germany
CRETE,Greece
STR,Germany
FLR,Italy
BEG,Serbia
ZAG,Croatia
KRK,Poland
GVA,Switzerland
NUE,Germany
YYZ,Canada
OTP,Romania
ORD,United States
SZG,Austria
BRE,Germany
SABIHA,Turkey
BLQ,Italy
SOF,Bulgaria
GRZ,Austria
NCE,France
BLL,Denmark
LEJ,Germany
WRO,Poland
DRS,Germany
LYS,France
LUX,Luxembourg
SFO,United States
OPO,Portugal
IAD,United States
PVG,China
BIO,Spain
GOT,Sweden
LGW,United Kingdom
SIN,Singapore
MAN,United Kingdom
HND,Japan
TUN,Tunisia
POZ,Poland
TLL,Estonia
BKK,Thailand
EDI,United Kingdom
CAI,Egypt
NAP,Italy
MRS,France
LJU,Slovenia
SKG,Greece
MLA,Malta
DEL,India
RIX,Latvia
YVR,Canada
KEFLAVIK,Iceland
VNO,Lithuania
ADB,Turkey
AGP,Spain
ICN,South Korea
TRN,Italy
BGO,Norway
DXB,United Arab Emirates
GDN,Poland
SPU,Croatia
VLC,Spain
HRG,Egypt
TRS,Italy
VRN,Italy
IAH,United States
DOH,Qatar
SEA,United States
GRU,Brazil
DFW,United States
ATL,United States
EWR,United States
DEN,United States
DTW,United States
PSA,Italy
HKG,Hong Kong
KTW,Poland
GLA,United Kingdom
RHO,Greece
TIA,Albania
DBV,Croatia
SJJ,Bosnia & Herzegovina
CMN,Morocco
LAS PALMAS,Spain
LAX,United States
ALG,Algeria
IBZ,Spain
BSL,France
FUE,Spain
PEK,China
REINA SOFÍA,Spain
EVN,Armenia
BOM,India
SARDINIA,Italy
LNZ,Austria
CTA,Italy
MADEIRA,Portugal
JNB,South Africa
LCY,United Kingdom
RMO,Moldova
LCA,Cyprus
KGS,Greece
BOS,United States
AUH,United Arab Emirates
NQZ,Kazakhstan
FAO,Portugal
KERKYRA,Greece
SKP,Republic of North Macedonia
BOD,France
XRY,Spain
YYC,Canada
NRT,Japan
PKX,China
CPT,South Africa
HAN,Vietnam
ESB,Turkey
ADD,Ethiopia
BAH,Bahrain
MCO,United States
CLT,United States
EZE,Argentina
BEY,Lebanon
BHX,United Kingdom
TPE,Taiwan
SVQ,Spain
MEX,Mexico
GYD,Azerbaijan
BLR,India
TPA,United States
LAS,United States
MAA,India
MIA,United States
NTE,France
TAS,Uzbekistan
YUL,Canada
RAK,Morocco
PUJ,Dominican Republic
DJE,Tunisia
WDH,Namibia
ARRECIFE,Spain
HYD,India
RDU,United States
CUN,Mexico
GIG,Brazil
ALC,Spain
ALA,Kazakhstan
PHL,United States
AMM,Jordan
NBO,Kenya
PMO,Italy
ABV,Nigeria
TOS,Norway
TLV,Israel
LOS,Nigeria
SGN,Vietnam
YHZ,Canada
BOG,Colombia
AUS,United States
DLM,Turkey
PDL,Portugal
MRU,Mauritius
NCL,United Kingdom
MCT,Oman
OVD,Spain
JTR,Greece
MAHON,Spain
TFU,China
CMB,Sri Lanka
KWI,Kuwait
GWT,Germany
SZX,China
PUY,Croatia
UBN,Mongolia
RMF,Egypt
STL,United States
ZNZ,Tanzania
SJO,Costa Rica
COV,Turkey
TRD,Norway
VAR,Bulgaria
BRI,Italy
CORSICA,France
ZAD,Croatia
JED,Saudi Arabia
MBA,Kenya
MIR,Tunisia
NBJ,Angola
MSP,United States
SUF,Italy
MBJ,Jamaica
CAN,China
ZTH,Greece
PRN,Kosovo
KLX,Greece
BJV,Turkey
ASB,Turkmenistan
TIV,Montenegro
GZT,Turkey
POP,Dominican Republic
TGD,Montenegro
RJK,Croatia
RUH,Saudi Arabia
ASR,Turkey
RSW,United States
EVE,Norway
JMK,Greece
PDX,United States
SSH,Egypt
PATRAS,Greece
ANC,United States
MLE,Maldives
SZF,Turkey
KVA,Greece
BOJ,Bulgaria
EZS,Turkey
JSI,Greece
SHE,China
FSC,France
SNN,Ireland
SPC,Spain
BVC,Cape Verde
AGA,Morocco
EBL,Iraq
URALSK,Kazakhstan
PVK,Greece
HKT,Thailand
TZX,Turkey
EFL,Greece
SEZ,Seychelles
SCQ,Spain
SXB,France
TLS,France
BIQ,France
SMI,Greece
ANU,Antigua & Barbuda
DIY,Turkey
TAB,Trinidad & Tobago
CLJ,Romania
ALF,Norway
IKA,Iran
SJD,Mexico
KUL,Malaysia
IVL,Finland
HAV,Cuba
HOG,Cuba
KTT,Finland
KAO,Finland
BDS,Italy
BZG,Poland
SDQ,Dominican Republic
FDF,Martinique
URC,China
SID,Cape Verde
RZE,Poland
UGC,Uzbekistan
LOS RODEOS,Spain
ORK,Ireland
RVN,Finland
BOO,Norway
LRM,Dominican Republic
SVG,Norway
TBS,Georgia
BGI,Barbados
NDR,Morocco
