機場代碼,目的地與國家
CEB,Philippines
MPH,Philippines
DVO,Philippines
BCD,Philippines
HKG,Hong Kong
CGY,Philippines
ILO,Philippines
TAC,Philippines
SIN,Singapore
TPE,Taiwan
TAG,Philippines
PPS,Philippines
ICN,South Korea
ZAM,Philippines
BXU,Philippines
DGT,Philippines
DRP,Philippines
NRT,Japan
KUL,Malaysia
BKK,Thailand
GES,Philippines
HAN,Vietnam
CAN,China
TUG,Philippines
HND,Japan
KIX,Japan
SGN,Vietnam
RXS,Philippines
DXB,United Arab Emirates
KLO,Philippines
DAD,Vietnam
OZC,Philippines
SFO,United States
LAO,Philippines
XMN,China
PAG,Philippines
PVG,China
CYZ,Philippines
DOH,Qatar
SYD,Australia
DPL,Philippines
MFM,Macao
DPS,Indonesia
KHH,Taiwan
NGO,Japan
FUK,Japan
LAX,United States
GUM,Guam
JJN,China
CBO,Philippines
RUH,Saudi Arabia
DON MUANG,Thailand
AUH,United Arab Emirates
BNE,Australia
YVR,Canada
CGK,Indonesia
PEK,China
BWN,Brunei
MEL,Australia
POM,Papua New Guinea
MCT,Oman
IST,Turkey
DEL,India
VRC,Philippines
BAH,Bahrain
PER,Australia
JED,Saudi Arabia
HNL,United States
KWI,Kuwait
SEA,United States
BKI,Malaysia
KTI,Cambodia
ROR,Palau
CKG,China
SZX,China
JFK,United States
TFU,China
YYZ,Canada
MED,Saudi Arabia
CTS,Japan
HGH,China
CSX,China
CDG,France
SPN,Northern Mariana Islands
ORD,United States
