機場代碼,目的地與國家
ICN,South Korea
TPE,Taiwan
HKG,Hong Kong
CTS,Japan
FUK,Japan
PVG,China
PUS,South Korea
MNL,Philippines
BKK,Thailand
KHH,Taiwan
SIN,Singapore
OKA,Japan
LAX,United States
KIX,Japan
KUL,Malaysia
HAN,Vietnam
SFO,United States
SGN,Vietnam
CEB,Philippines
HNL,United States
GUM,Guam
NGO,Japan
YVR,Canada
MYJ,Japan
CGK,Indonesia
TAK,Japan
CJJ,South Korea
KMJ,Japan
ORD,United States
ITM,Japan
ISG,Japan
MEX,Mexico
SEA,United States
BNE,Australia
DON MUANG,Thailand
UBN,Mongolia
IAH,United States
DLC,China
FOC,China
MEL,Australia
IST,Turkey
AKJ,Japan
HRB,China
KMI,Japan
WAW,Poland
DOH,Qatar
PEK,China
RMQ,Taiwan
AKL,New Zealand
TAE,South Korea
DXB,United Arab Emirates
YYC,Canada
EWR,United States
KCZ,Japan
BOM,India
DAD,Vietnam
DFW,United States
DPS,Indonesia
AMS,Netherlands
HEL,Finland
HGH,China
FRA,Germany
OIT,Japan
DEN,United States
XMN,China
YYZ,Canada
KOJ,Japan
BOS,United States
NGS,Japan
DEL,India
ZRH,Switzerland
CNS,Australia
YUL,Canada
CRK,Philippines
AUH,United Arab Emirates
SZX,China
TSN,China
MFM,Macao
SJC,United States
TFU,China
ASJ,Japan
HIJ,Japan
VIE,Austria
TLV,Israel
CAN,China
CMB,Sri Lanka
BWN,Brunei
CKG,China
SHE,China
CJU,South Korea
SAN,United States
HKD,Japan
MAD,Spain
BRU,Belgium
KTM,Nepal
BLR,India
PER,Australia
CAI,Egypt
PPT,French Polynesia
ROR,Palau
NAN,Fiji
CGQ,China
TAS,Uzbekistan
HAK,China
SPN,Northern Mariana Islands
WUH,China
POM,Papua New Guinea
CGO,China
CSX,China
MTY,Mexico
